Review ID,Processing Activity,Personal Data,Data Subjects,Purpose,Lawful Basis,Special Category Data,Consent Required,Documentation Status,Risk Level,Gap Identified,Recommended Action
LB-001,Customer Account Management,"Name email username account ID",Customers,Create and manage customer accounts,Contract,No,No,Documented,Low,None identified,Continue documenting contract-based processing
LB-002,Payment Processing,"Billing address payment token invoice history",Customers,Process payments and financial records,Contract / Legal Obligation,No,No,Partial,Medium,Lawful basis documentation is split across systems,Centralize lawful basis and retention documentation
LB-003,Marketing Emails,"Email marketing preferences engagement history",Customers and Prospects,Send marketing communications,Consent / Legitimate Interests,No,Yes,Partial,Medium,Consent withdrawal evidence is inconsistent,Improve consent tracking and retain withdrawal records
LB-004,Customer Support,"Name email support messages attachments",Customers,Provide support and resolve service issues,Contract,No,No,Documented,Low,None identified,Continue limiting collected data to support needs
LB-005,Website Analytics,"IP address cookie identifiers device information usage data",Website Visitors,Measure website use and improve services,Consent / Legitimate Interests,No,Yes,Partial,Medium,Analytics consent records are not consistently documented,Document consent controls and cookie preference evidence
LB-006,Employee Administration,"Name address phone email compensation employment records",Employees,Manage employment relationship,Contract / Legal Obligation,Possible,No,Partial,High,Special category information may exist without separate documented handling controls,Document handling rules for sensitive employee data
LB-007,Recruitment,"Name email phone resume employment history",Job Applicants,Recruit and evaluate candidates,Pre-contractual Steps / Legitimate Interests,Possible,No,Partial,Medium,Retention and lawful basis are not consistently documented,Document recruitment lawful basis and applicant retention period
LB-008,Security Monitoring,"User IDs IP addresses login activity device identifiers",Employees and Customers,Detect investigate and respond to security threats,Legitimate Interests,No,No,Documented,Medium,None identified,Maintain documented balancing assessment and restricted access
LB-009,Product Analytics,"User ID feature usage activity history",Customers,Improve product functionality and user experience,Legitimate Interests,No,No,Partial,Medium,Purpose limitation and minimization are not consistently documented,Document legitimate-interest assessment and minimize analytics data
LB-010,Legal Compliance Records,"Contracts complaints DSAR records breach records",Customers Employees and Vendors,Meet legal and regulatory obligations,Legal Obligation,Possible,No,Documented,Low,None identified,Continue retaining evidence based on legal requirements
LB-011,Vendor Management,"Name business email phone job title",Vendor Personnel,Manage vendors and conduct due diligence,Legitimate Interests,No,No,Documented,Low,None identified,Continue periodic review of vendor contact data
LB-012,Video Conferencing,"Name email meeting metadata recordings",Employees Customers and Vendors,Support business communications,Legitimate Interests / Contract,Possible,Depends,Partial,Medium,Recording purposes and retention are not always clearly documented,Document recording purpose notice retention and access controls
LB-013,Customer Surveys,"Name email survey responses",Customers,Measure satisfaction and improve services,Legitimate Interests / Consent,Possible,Depends,Partial,Medium,Survey responses may include unexpected sensitive information,Minimize free-text collection and document survey lawful basis
LB-014,Fraud Prevention,"Account details IP addresses transaction patterns",Customers,Detect and prevent fraudulent activity,Legitimate Interests / Legal Obligation,No,No,Documented,Medium,None identified,Continue documenting fraud prevention necessity and access controls
LB-015,Data Subject Requests,"Identity verification information request details correspondence",Customers Employees and Other Individuals,Respond to GDPR data subject requests,Legal Obligation,Possible,No,Documented,Medium,None identified,Restrict access and define retention for request evidence
