Control ID,GDPR Area,Privacy Objective,Current State,Status,Risk Level,Evidence Expected,Recommended Action
GDPR-001,Privacy Governance,Establish accountability for privacy compliance,Privacy responsibilities exist but ownership is not fully documented,Partial,Medium,Privacy policy role descriptions and governance records,Assign documented privacy owners and review responsibilities annually
GDPR-002,Personal Data Inventory,Identify personal data collected processed stored and shared,A partial data inventory exists but several systems are missing,Partial,High,Data inventory system list and data owner records,Complete the personal data inventory and assign owners
GDPR-003,Records of Processing Activities,Maintain documented records of personal data processing activities,Processing activities are documented inconsistently,Partial,High,ROPA register and business process documentation,Create and maintain a formal Records of Processing Activities register
GDPR-004,Lawful Basis,Document the lawful basis for each processing activity,Lawful basis is known for major processes but is not centrally documented,Partial,High,Lawful basis register privacy notices and processing records,Document lawful basis for every processing activity
GDPR-005,Consent Management,Ensure consent is valid documented and withdrawable,Consent is captured for marketing but withdrawal evidence is inconsistent,Partial,Medium,Consent records preference center and withdrawal logs,Improve consent tracking and document withdrawal processing
GDPR-006,Purpose Limitation,Use personal data only for documented legitimate purposes,Most processing purposes are documented but secondary-use reviews are inconsistent,Partial,Medium,Processing purpose documentation and approval records,Review secondary uses of personal data before implementation
GDPR-007,Data Minimization,Collect only personal data necessary for the stated purpose,Some forms collect optional data that may not be necessary,Partial,Medium,Data collection forms field inventory and justification records,Remove unnecessary data fields and document business justification
GDPR-008,Data Accuracy,Maintain accurate and current personal data,Correction processes exist but recurring data quality reviews are limited,Partial,Medium,Correction records and data quality review evidence,Establish recurring data accuracy checks
GDPR-009,Data Retention,Retain personal data only as long as necessary,Retention practices exist but periods are not consistently documented,Partial,High,Retention schedule deletion logs and system configuration,Create a formal retention schedule and verify secure deletion
GDPR-010,Data Subject Access,Support requests for copies of personal data,Access request procedures exist but tracking is partly manual,Partial,High,DSAR log identity verification records and response evidence,Centralize request tracking and monitor response deadlines
GDPR-011,Right to Rectification,Support correction of inaccurate personal data,Rectification requests are handled but evidence retention is inconsistent,Partial,Medium,Request records correction evidence and closure documentation,Retain complete evidence for rectification requests
GDPR-012,Right to Erasure,Support deletion requests where legally applicable,Deletion procedures exist but cross-system deletion verification is incomplete,Partial,High,Erasure request log deletion evidence and exception records,Implement end-to-end deletion verification
GDPR-013,Right to Restriction,Support restriction of processing requests,Restriction procedures are documented but rarely tested,Partial,Medium,Restriction request records and processing flags,Test restriction procedures and retain evidence
GDPR-014,Data Portability,Provide personal data in a usable portable format where applicable,Export capability exists but procedures are not formally documented,Partial,Medium,Export samples procedures and request records,Document and test the portability process
GDPR-015,Right to Object,Support objections to certain processing activities,Opt-out mechanisms exist but central tracking is inconsistent,Partial,Medium,Objection logs preference records and suppression lists,Centralize objection and suppression tracking
GDPR-016,Automated Decision-Making,Identify and govern automated decisions with significant effects,Automated decision-making use is limited but formal review is not documented,Partial,Medium,System inventory DPIA records and decision logic review,Document automated processing reviews and safeguards
GDPR-017,Processor Management,Perform privacy and security due diligence on processors,Processor reviews occur but recurring reassessment is inconsistent,Partial,High,Processor inventory DPAs questionnaires and reassessment records,Perform annual reviews of high-risk processors
GDPR-018,Data Processing Agreements,Ensure processor contracts include required privacy obligations,Most processors have DPAs but evidence is incomplete for some vendors,Partial,High,Signed DPAs contract inventory and approval records,Obtain and track DPAs for all applicable processors
GDPR-019,International Data Transfers,Use appropriate safeguards for cross-border personal data transfers,International transfers exist but safeguard documentation is incomplete,Partial,High,Transfer inventory SCCs transfer impact assessments and approvals,Document transfer mechanisms and complete transfer risk reviews
GDPR-020,Security of Processing,Apply appropriate technical and organizational security measures,Encryption MFA logging and endpoint controls are implemented,Implemented,Low,Security policies technical configurations and assessment evidence,Continue recurring security control reviews
GDPR-021,Data Breach Response,Assess document and escalate personal data breaches,A breach process exists but privacy-specific exercises are inconsistent,Partial,High,Breach response plan incident records and exercise reports,Conduct annual privacy breach tabletop exercises
GDPR-022,DPIA,Assess high-risk processing before implementation,DPIAs are performed for some projects but triggers are not consistently documented,Partial,Medium,DPIA template completed assessments and approval records,Define DPIA triggers and require assessments before high-risk processing
GDPR-023,Privacy Notice,Provide transparent information about personal data processing,A privacy notice is published and maintained,Implemented,Low,Published privacy notice and review records,Continue annual privacy notice reviews
GDPR-024,Accountability and Evidence,Maintain evidence demonstrating privacy compliance,Compliance evidence exists across multiple locations,Partial,Medium,Policies registers approvals assessments and training records,Centralize privacy compliance evidence and review it regularly
