Risk ID,Risk Description,GDPR Area,Likelihood,Impact,Risk Score,Risk Rating,Existing Control,Control Gap,Recommended Remediation
GDPR-R-001,Personal data retained longer than necessary,Data Retention,3,4,12,High,Retention practices exist,Retention periods are not consistently documented,Create a formal retention schedule and verify secure deletion
GDPR-R-002,Processing activity lacks documented lawful basis,Lawful Basis,3,4,12,High,Lawful basis is known for major processes,Documentation is incomplete or decentralized,Create a centralized lawful basis register for all processing activities
GDPR-R-003,Incomplete personal data inventory causes unmanaged processing risk,Personal Data Inventory,3,4,12,High,A partial data inventory exists,Several systems and data flows are missing,Complete the personal data inventory and assign data owners
GDPR-R-004,Delayed response to a data subject access request,Data Subject Rights,3,4,12,High,DSAR procedures exist,Tracking is partly manual and deadlines may be missed,Implement centralized DSAR tracking with deadline alerts
GDPR-R-005,Personal data is not fully erased after a valid deletion request,Right to Erasure,3,5,15,High,Deletion procedures exist,Cross-system deletion verification is incomplete,Implement end-to-end deletion verification and retain evidence
GDPR-R-006,Third-party processor mishandles personal data,Processor Management,3,5,15,High,Processor reviews are performed,Recurring reassessment is inconsistent,Perform annual privacy and security reviews of high-risk processors
GDPR-R-007,Missing or incomplete Data Processing Agreement,Data Processing Agreements,3,4,12,High,Most processors have DPAs,Some vendor documentation is incomplete,Track DPA status and obtain missing agreements
GDPR-R-008,International transfer occurs without sufficient safeguards,International Data Transfers,3,5,15,High,Some transfer mechanisms are documented,Transfer impact reviews are incomplete,Document transfer mechanisms and complete transfer impact assessments
GDPR-R-009,Consent withdrawal is not properly reflected in downstream systems,Consent Management,2,4,8,Medium,Consent capture exists,Withdrawal evidence and synchronization are inconsistent,Centralize consent records and verify downstream suppression
GDPR-R-010,Unnecessary personal data increases breach exposure,Data Minimization,2,4,8,Medium,Some collection controls exist,Optional or excessive data fields remain in use,Remove unnecessary fields and document business justification
GDPR-R-011,Personal data breach notification is delayed,Data Breach Response,3,5,15,High,A breach response process exists,Privacy-specific escalation and notification testing is inconsistent,Conduct annual privacy breach tabletop exercises
GDPR-R-012,High-risk processing begins without a DPIA,DPIA,2,5,10,Medium,Some DPIAs are performed,DPIA triggers are not consistently defined,Define DPIA triggers and require assessment before high-risk processing
GDPR-R-013,Privacy compliance evidence cannot be located during an audit,Accountability and Evidence,2,4,8,Medium,Compliance evidence exists,Evidence is fragmented across multiple locations,Create a centralized privacy compliance evidence repository
GDPR-R-014,Automated decision-making lacks proper review,Automated Decision-Making,2,4,8,Medium,Use of automated decision-making is limited,Formal governance and safeguards are not consistently documented,Document automated processing reviews and applicable safeguards
GDPR-R-015,Employee or contractor accesses personal data beyond business need,Security of Processing,3,5,15,High,Role-based access controls and security controls exist,Access reviews may not consistently validate privacy-related need,Perform recurring privacy-focused access reviews and remove unnecessary access
