Data ID,System/Process,Data Category,Personal Data Collected,Data Subjects,Purpose of Processing,Lawful Basis,Data Owner,Processor/Third Party,Storage Location,Retention Period,International Transfer,Sensitivity,Risk Level,Recommended Action
DATA-001,Customer Account Platform,Identity Data,"Name email username account ID",Customers,Create and manage customer accounts,Contract,Customer Operations,Cloud hosting provider,EU and US cloud regions,Account life plus 2 years,Yes,Medium,Medium,Document transfer mechanism and validate retention period
DATA-002,Billing System,Financial Data,"Billing address payment token invoice history",Customers,Process payments and maintain financial records,Contract / Legal Obligation,Finance,Payment processor,US and EU systems,7 years,Yes,High,High,Confirm processor DPA transfer safeguards and deletion controls
DATA-003,CRM,Contact Data,"Name email phone company job title",Customers and Prospects,Customer relationship management and sales,Legitimate Interests,Sales,CRM provider,Cloud SaaS,3 years after last activity,Yes,Medium,Medium,Document legitimate-interest assessment and retention review
DATA-004,Marketing Platform,Marketing Data,"Email preferences campaign history engagement data",Customers and Prospects,Send marketing communications,Consent / Legitimate Interests,Marketing,Email marketing provider,Cloud SaaS,Until consent withdrawal or 2 years inactivity,Yes,Medium,Medium,Improve consent withdrawal and suppression tracking
DATA-005,Support Ticketing System,Support Data,"Name email support messages attachments technical logs",Customers,Provide customer support,Contract,Customer Support,Support platform provider,Cloud SaaS,3 years after ticket closure,Yes,High,High,Review attachments for unnecessary personal data and define deletion rules
DATA-006,Website Analytics,Online Identifier Data,"IP address cookie identifiers device information usage data",Website Visitors,Measure website usage and improve services,Consent / Legitimate Interests,Marketing / Product,Analytics provider,Cloud analytics platform,14 months,Yes,Medium,Medium,Confirm consent controls and document analytics retention
DATA-007,Human Resources System,Employee Data,"Name address phone email employment records compensation",Employees,Manage employment relationship,Contract / Legal Obligation,HR,HR platform provider,Cloud SaaS,7 years after employment,Yes,High,High,Validate retention requirements and restrict HR access
DATA-008,Recruiting Platform,Candidate Data,"Name email phone resume employment history",Job Applicants,Recruitment and candidate evaluation,Legitimate Interests / Pre-contractual Steps,HR,Recruiting provider,Cloud SaaS,2 years after application,Yes,High,Medium,Document retention and applicant deletion process
DATA-009,Security Monitoring Platform,Security Log Data,"User IDs IP addresses login activity device identifiers",Employees and Customers,Detect investigate and respond to security events,Legitimate Interests,Security Operations,SIEM provider,Cloud security platform,12 months,Yes,High,Medium,Document security purpose access restrictions and retention justification
DATA-010,Vendor Management System,Vendor Contact Data,"Name business email phone job title",Vendor Personnel,Manage vendor relationships and due diligence,Legitimate Interests,Procurement / GRC,Vendor management provider,Cloud SaaS,Contract life plus 3 years,Yes,Low,Low,Continue periodic retention review
DATA-011,Video Conferencing Platform,Communications Data,"Name email meeting metadata recordings when enabled",Employees Customers and Vendors,Support business communications,Legitimate Interests / Contract,IT,Video conferencing provider,Cloud SaaS,Recordings 90 days unless business need requires longer,Yes,Medium,Medium,Restrict recording permissions and document deletion schedule
DATA-012,Email System,Communications Data,"Email address message content attachments contact information",Employees Customers and Vendors,Business communications and recordkeeping,Legitimate Interests / Contract,IT / Business Owners,Email service provider,Cloud SaaS,Varies by mailbox and legal hold,Yes,High,High,Define mailbox retention rules and legal hold exceptions
DATA-013,Product Application,Usage Data,"User ID activity history feature usage audit events",Customers,Provide operate secure and improve the SaaS service,Contract / Legitimate Interests,Product,Cloud hosting provider,Cloud infrastructure,Account life plus 2 years,Yes,Medium,Medium,Document purpose limitation and deletion after account closure
DATA-014,Data Warehouse,Combined Customer Data,"Account profile billing support and product usage data",Customers,Reporting analytics and business intelligence,Legitimate Interests,Data / Analytics,Cloud infrastructure provider,Cloud data warehouse,3 years,Yes,High,High,Apply minimization restrict access and document source-system retention alignment
DATA-015,Legal and Compliance Repository,Compliance Data,"Contracts complaints DSAR records breach records approvals",Customers Employees and Vendors,Meet legal regulatory and accountability obligations,Legal Obligation / Legitimate Interests,Legal / GRC,Document storage provider,Cloud repository,Varies by legal requirement,Yes,High,Medium,Maintain documented retention schedule and access restrictions
