Review ID,Right,Request Type,Current Process,Identity Verification,Tracking Method,Response Deadline,Current Status,Risk Level,Gap Identified,Recommended Action
DSR-001,Right of Access,Data Subject Access Request,Requests are accepted through email and support channels,Manual identity verification,Spreadsheet tracking,1 Month,Partial,High,Manual tracking may cause missed deadlines or incomplete responses,Implement centralized DSAR tracking with automated deadline alerts
DSR-002,Right to Rectification,Correction Request,Users may request correction through support,Identity verification performed,Ticketing system,1 Month,Partial,Medium,Correction evidence is not consistently retained,Retain before-and-after correction evidence and closure records
DSR-003,Right to Erasure,Deletion Request,Deletion requests are routed to system owners,Identity verification performed,Spreadsheet and tickets,1 Month,Partial,High,Cross-system deletion verification is incomplete,Create an end-to-end deletion checklist and retain evidence from each system
DSR-004,Right to Restriction,Restriction Request,Requests are handled manually by privacy and system teams,Identity verification performed,Manual tracking,1 Month,Partial,Medium,Restriction status may not be consistently applied across systems,Implement centralized restriction tracking and verify downstream enforcement
DSR-005,Right to Data Portability,Data Export Request,Customer data can be exported from major systems,Identity verification performed,Support ticket,1 Month,Partial,Medium,Export procedures are not formally documented,Document the portability process and test export completeness
DSR-006,Right to Object,Marketing or Processing Objection,Marketing opt-outs are supported but broader objections are handled manually,Identity verification when required,Marketing platform and email,1 Month,Partial,Medium,Objection records are fragmented across systems,Centralize objection tracking and verify suppression across systems
DSR-007,Automated Decision-Making,Automated Decision Review,Automated decision-making use is limited,Manual review when applicable,Manual records,1 Month,Partial,Medium,Formal review procedures and safeguards are not fully documented,Create documented procedures for automated decision reviews and human intervention
DSR-008,Right of Access,Employee Data Request,Employee requests are routed through HR,HR verifies identity,HR case management,1 Month,Implemented,Low,No major gap identified,Continue documenting request response and closure evidence
DSR-009,Right to Erasure,Former Applicant Deletion,Applicants may request deletion of recruitment data,Identity verification performed,Recruiting platform and email,1 Month,Partial,Medium,Deletion from integrated recruiting systems may not be independently validated,Verify deletion across recruiting systems and retain evidence
DSR-010,Right to Rectification,Customer Account Correction,Customers can update some profile information directly,Authenticated account access,Application and support ticket,1 Month,Implemented,Low,No major gap identified,Continue logging support-assisted corrections
DSR-011,Right to Object,Direct Marketing Opt-Out,Users can unsubscribe from marketing communications,Email-link verification,Marketing preference center,Without Undue Delay,Implemented,Low,No major gap identified,Continue maintaining suppression lists and consent history
DSR-012,Right to Restriction,Disputed Data Processing,Privacy team can request temporary restriction,Identity verification performed,Manual ticketing,1 Month,Partial,Medium,Restriction controls depend on manual coordination,Create standard restriction workflow with system-owner confirmation
DSR-013,Right to Data Portability,Account Data Export,Data can be exported but format varies by system,Identity verification performed,Support ticket,1 Month,Partial,Medium,Export formats and completeness are inconsistent,Standardize portable export formats and document validation
DSR-014,Request Management,Deadline Monitoring,Privacy team tracks open requests manually,Not Applicable,Spreadsheet,1 Month,Partial,High,Deadlines could be missed because reminders are manual,Implement automated request deadline and escalation tracking
DSR-015,Request Management,Request Closure,Requests are closed after response is sent,Not Applicable,Spreadsheet and email,Not Applicable,Partial,Medium,Closure evidence is fragmented,Maintain centralized closure evidence including response date and approver
