Gap ID,GDPR Area,Current State,Gap Identified,Risk Level,Business Impact,Recommended Remediation,Priority,Target Timeline,Status
GDPR-GAP-001,Privacy Governance,Privacy responsibilities exist but ownership is not fully documented,Privacy accountability is not formally assigned across key processing activities,Medium,Unclear ownership may delay compliance decisions or remediation,Assign documented privacy owners and create a privacy governance responsibility matrix,Medium,60 Days,Open
GDPR-GAP-002,Personal Data Inventory,A partial data inventory exists but several systems are missing,The organization does not maintain a complete inventory of personal data processing,High,Unknown data flows may create unmanaged privacy and compliance risk,Complete the personal data inventory and assign owners for each processing activity,High,30 Days,Open
GDPR-GAP-003,Records of Processing Activities,Processing activities are documented inconsistently,A complete and maintained ROPA does not exist,High,The organization may be unable to demonstrate accountability or understand processing activities,Create and maintain a formal Records of Processing Activities register,High,30 Days,Open
GDPR-GAP-004,Lawful Basis,Lawful basis is known for major processes but is not centrally documented,The lawful basis for every processing activity is not consistently recorded,High,Personal data may be processed without sufficient documentation of legal justification,Create a centralized lawful basis register and link each processing activity to its justification,High,30 Days,Open
GDPR-GAP-005,Consent Management,Consent is captured for marketing but withdrawal evidence is inconsistent,Consent and withdrawal activity is not consistently traceable,Medium,Individuals may continue receiving processing after withdrawing consent,Centralize consent records and retain evidence of withdrawal processing,Medium,60 Days,Open
GDPR-GAP-006,Data Minimization,Some forms collect optional data that may not be necessary,Personal data collection exceeds the minimum required for some processing activities,Medium,Unnecessary personal data increases breach impact and compliance exposure,Review collection forms remove unnecessary fields and document justification for retained fields,Medium,60 Days,Open
GDPR-GAP-007,Data Retention,Retention practices exist but periods are not consistently documented,A formal enterprise data retention schedule is incomplete,High,Personal data may be retained longer than necessary,Create a formal retention schedule with owners deletion triggers and secure deletion evidence,High,30 Days,Open
GDPR-GAP-008,Data Subject Access Requests,Request procedures exist but tracking is partly manual,DSAR intake identity verification deadlines and closure are not centrally tracked,High,Requests may be delayed or handled inconsistently,Implement centralized DSAR tracking with deadline alerts and closure evidence,High,30 Days,Open
GDPR-GAP-009,Right to Erasure,Deletion procedures exist but cross-system verification is incomplete,The organization cannot consistently prove that personal data was deleted across all applicable systems,High,Personal data may remain after a valid deletion request,Implement end-to-end deletion verification and retain evidence from affected systems,High,60 Days,Open
GDPR-GAP-010,Processor Management,Processor reviews occur but recurring reassessment is inconsistent,High-risk processors are not consistently reassessed,High,Third-party processing weaknesses may expose personal data or create compliance violations,Perform annual privacy and security reassessments of high-risk processors,High,60 Days,Open
GDPR-GAP-011,Data Processing Agreements,Most processors have DPAs but evidence is incomplete for some vendors,Some applicable processors do not have complete DPA documentation,High,Contractual privacy obligations may be missing or unclear,Track DPA status for all processors and obtain missing agreements,High,30 Days,Open
GDPR-GAP-012,International Data Transfers,International transfers exist but safeguard documentation is incomplete,Transfer mechanisms and supporting risk assessments are not consistently documented,High,Personal data may be transferred without sufficient safeguards,Document transfer mechanisms complete transfer impact reviews and retain approval evidence,High,60 Days,Open
GDPR-GAP-013,Data Breach Response,A breach process exists but privacy-specific exercises are inconsistent,Privacy breach notification procedures have not been regularly tested,High,Notification decisions may be delayed during a personal data breach,Conduct annual privacy breach tabletop exercises and document escalation and notification decisions,High,60 Days,Open
GDPR-GAP-014,DPIA,DPIAs are performed for some projects but triggers are not consistently documented,High-risk processing may begin without a documented DPIA review,Medium,Privacy risks may not be identified before new processing is introduced,Define DPIA triggers and require documented assessment before high-risk processing,Medium,60 Days,Open
GDPR-GAP-015,Accountability and Evidence,Compliance evidence exists across multiple locations,Privacy compliance evidence is fragmented and difficult to retrieve,Medium,The organization may struggle to demonstrate compliance during audits or investigations,Create a centralized privacy compliance evidence repository and recurring review process,Medium,90 Days,Open
